repeat_seed,fold,branch,feature,rank
43,1,clinical,Mri results_Extraprostatic Extension Localized (e.g. seminal vesicles)|Extraprostatic Extension (regional lymphadenopathy) [e.g. cN1],22
43,1,clinical,Surgical Margin Resection Status_R2,23
43,1,clinical,Mri results_No Evidence of Extraprostatic Extension|Equivocal,24
43,1,clinical,Year Cancer Initial Diagnosis,25
43,1,clinical,Ct scan ab pelvis indicator_NO,26
43,1,clinical,"Prior Cancer Diagnosis Occurence_Yes, History of Prior Malignancy",27
43,1,clinical,Tissue Retrospective Collection Indicator_NO,28
43,1,clinical,Mri results_No Evidence of Extraprostatic Extension,29
43,1,clinical,Mri results_Distant Metastasis [e.g. cM1],30
43,1,clinical,Mri results_Equivocal,31
43,1,clinical,Mri results_Extraprostatic Extension Localized (e.g. seminal vesicles),32
43,1,clinical,Primary Lymph Node Presentation Assessment Ind-3_YES,33
43,1,clinical,Did patient start adjuvant postoperative radiotherapy?_YES,34
43,1,clinical,Primary Therapy Outcome Success Type_Stable Disease,35
43,1,clinical,Cause of death source_Death Certificate,36
43,1,clinical,Surgical Margin Resection Status_R0,37
43,1,clinical,Surgical Margin Resection Status_RX,38
43,1,clinical,Did patient start adjuvant postoperative radiotherapy?_NO,39
43,1,clinical,American Joint Committee on Cancer Tumor Stage Code_T3a,40
43,2,genomic,Tumor Other Histologic Subtype_acinar and cribriform,1
43,2,genomic,AOX1,2
43,2,genomic,UBL7,3
43,2,genomic,Tumor Other Histologic Subtype_Prostatic Adenocarcinoma Acinar Type Mixed with Prostatic Duct Adenocarcinoma,4
43,2,genomic,NAE1,5
43,2,genomic,CYSRT1,6
43,2,genomic,COX7B2,7
43,2,genomic,LYG1,8
43,2,genomic,ODF2,9
43,2,genomic,ZRANB2,10
43,2,genomic,SMO,11
43,2,genomic,IL4I1,12
43,2,genomic,KCNK12,13
43,2,genomic,HSD11B1L,14
43,2,genomic,ADGRV1,15
43,2,genomic,TECRL,16
43,2,genomic,POLD2,17
43,2,genomic,AFF3,18
43,2,genomic,AHNAK2,19
43,2,genomic,DEFA5,20
43,2,genomic,ANO8,21
43,2,genomic,RNF34,22
43,2,genomic,PWWP2A,23
43,2,genomic,MRPL46,24
43,2,genomic,TMEM211,25
43,2,genomic,DUSP12,26
43,2,genomic,RGS17,27
43,2,genomic,OLIG3,28
43,2,genomic,NPIPA1,29
43,2,genomic,MAPRE3,30
43,2,genomic,CANT1,31
43,2,genomic,BZRAP1,32
43,2,genomic,GCA,33
43,2,genomic,MBD4,34
43,2,genomic,AJM1,35
43,2,genomic,NQO1,36
43,2,genomic,KLHL36,37
43,2,genomic,CHTF18,38
43,2,genomic,UHRF1,39
43,2,genomic,DUSP14,40
43,2,clinical,Radical Prostatectomy Gleason Score for Prostate Cancer,1
43,2,clinical,"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code_8255/3",2
43,2,clinical,American Joint Committee on Cancer Tumor Stage Code_T3a,3
43,2,clinical,"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code_8480/3",4
43,2,clinical,Year Cancer Initial Diagnosis,5
43,2,clinical,Gleason pattern secondary,6
43,2,clinical,Surgical Margin Resection Status_R2,7
43,2,clinical,Patient Primary Tumor Site_Overlapping / Multiple Zones,8
