run_seed,branch,feature,rank
506,genomic,SUGT1P1,14
506,genomic,BEND7,15
506,genomic,EIF2B2,16
506,genomic,ABHD5,17
506,genomic,MOV10L1,18
506,genomic,ZMYND19,19
506,genomic,FLJ44635,20
506,genomic,FUNDC1,21
506,genomic,PTGER1,22
506,genomic,FLG,23
506,genomic,LGALS8,24
506,genomic,SOX2-OT,25
506,genomic,FAM3B,26
506,genomic,ANXA8,27
506,genomic,B2M,28
506,genomic,SPATA41,29
506,genomic,OR10H1,30
506,genomic,YTHDC2,31
506,genomic,NXF1,32
506,genomic,PSMD10,33
506,genomic,SWSAP1,34
506,genomic,CNTF,35
506,genomic,KIAA0513,36
506,genomic,RAC2,37
506,genomic,ADRA1D,38
506,genomic,ANXA1,39
506,genomic,LRRC28,40
506,clinical,Person Neoplasm Status_TUMOR FREE,1
506,clinical,Person Neoplasm Status_WITH TUMOR,2
506,clinical,Radical Prostatectomy Gleason Score for Prostate Cancer,3
506,clinical,Tumor Level_Middle,4
506,clinical,Neoplasm Disease Lymph Node Stage American Joint Committee on Cancer Code_N0,5
506,clinical,Lymph Node(s) Examined Number,6
506,clinical,American Joint Committee on Cancer Tumor Stage Code_T4,7
506,clinical,Neoplasm American Joint Committee on Cancer Clinical Primary Tumor T Stage_T3b,8
506,clinical,American Joint Committee on Cancer Tumor Stage Code_T2a,9
506,clinical,Race Category_WHITE,10
506,clinical,Tissue Retrospective Collection Indicator_YES,11
506,clinical,Primary Tumor Laterality_Left,12
506,clinical,Prior Cancer Diagnosis Occurence_No,13
506,clinical,Tumor Level_Base,14
506,clinical,"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code_8140/3",15
506,clinical,Neoplasm American Joint Committee on Cancer Clinical Primary Tumor T Stage_T2,16
506,clinical,Primary Lymph Node Presentation Assessment Ind-3_YES,17
506,clinical,Year Cancer Initial Diagnosis,18
506,clinical,Did patient start adjuvant postoperative radiotherapy?_YES,19
506,clinical,SEX,20
506,clinical,Surgical Margin Resection Status_R0,21
506,clinical,Tumor Level_Apex,22
506,clinical,Bone Scan Result_Abnormal (not related to prostate cancer),23
506,clinical,Diagnosis Age,24
506,clinical,Primary Tumor Laterality_Bilateral,25
506,clinical,Gleason pattern tertiary_5,26
506,clinical,Ct scan ab pelvis results_Extraprostatic Extension (regional lymphadenopathy)[e.g. cN1],27
506,clinical,Bone Scan Result_Equivocal,28
506,clinical,Tissue Prospective Collection Indicator_YES,29
506,clinical,Tumor Level_Apex|Base,30
506,clinical,Tumor Level_Middle|Base,31
506,clinical,Diagonstic MRI Result_NO,32
506,clinical,Mri results_No Evidence of Extraprostatic Extension,33
506,clinical,Primary Lymph Node Presentation Assessment Ind-3_NO,34
506,clinical,Neoplasm American Joint Committee on Cancer Clinical Primary Tumor T Stage_T3a,35
506,clinical,Neoplasm American Joint Committee on Cancer Clinical Primary Tumor T Stage_T2c,36
506,clinical,Primary Therapy Outcome Success Type_Stable Disease,37
506,clinical,Neoplasm Disease Lymph Node Stage American Joint Committee on Cancer Code_N1,38
506,clinical,American Joint Committee on Cancer Tumor Stage Code_T3a,39
506,clinical,Adjuvant Postoperative Targeted Therapy Administered Indicator_NO,40
507,genomic,MRPS26,1
507,genomic,ORC2,2
507,genomic,FTSJ2,3
507,genomic,ASAP2,4
507,genomic,BRICD5,5
507,genomic,ACVRL1,6
507,genomic,SLC15A1,7
507,genomic,PBLD,8
507,genomic,GTF3C6,9
507,genomic,MUL1,10
507,genomic,BOP1,11
507,genomic,TMEM52B,12
507,genomic,VGF,13
507,genomic,MAGEL2,14
507,genomic,KIAA0141,15
507,genomic,FLJ44635,16
507,genomic,ELP4,17
507,genomic,DMRT1,18
507,genomic,STK38L,19
507,genomic,FAM3B,20
507,genomic,SLITRK6,21
507,genomic,INHBE,22
507,genomic,GLIS2,23
507,genomic,NAA40,24
