2026-09-19 02:28:26 | INFO     | prostate_bcr |   NestedCV genomic PSO iter 5/10: best Fitness=0.7931 (Raw AUC ~= 0.8331)
2026-09-19 02:28:45 | INFO     | prostate_bcr |   NestedCV genomic PSO iter 10/10: best Fitness=0.7931 (Raw AUC ~= 0.8331)
2026-09-19 02:28:45 | INFO     | prostate_bcr | NestedCV genomic PSO selected 40 features with final fitness=0.7931
2026-09-19 02:28:49 | INFO     | prostate_bcr | NestedCV clinical PSO: 12 particles, 10 iterations, target 40 features, alpha=0.0010
2026-09-19 02:29:05 | INFO     | prostate_bcr |   NestedCV clinical PSO iter 5/10: best Fitness=0.7653 (Raw AUC ~= 0.8053)
2026-09-19 02:29:22 | INFO     | prostate_bcr |   NestedCV clinical PSO iter 10/10: best Fitness=0.7653 (Raw AUC ~= 0.8053)
2026-09-19 02:29:22 | INFO     | prostate_bcr | NestedCV clinical PSO selected 40 features with final fitness=0.7653
2026-09-19 02:29:22 | INFO     | prostate_bcr | Repeat seed=43 fold 3/5 ...
2026-09-19 02:29:23 | INFO     | prostate_bcr | Column groups: 115 clinical, 18904 gene
2026-09-19 02:29:23 | INFO     | prostate_bcr | Column groups: 115 clinical, 18904 gene
2026-09-19 02:29:26 | INFO     | prostate_bcr | Preprocessing fitted on 343 training samples
2026-09-19 02:29:58 | INFO     | prostate_bcr | Genomic selector: 18904 variance \u2192 200 MI features
2026-09-19 02:29:58 | INFO     | prostate_bcr | Clinical selector: 79 variance -> 79 MI features
2026-09-19 02:30:02 | INFO     | prostate_bcr | NestedCV genomic PSO: 12 particles, 10 iterations, target 40 features, alpha=0.0010
2026-09-19 02:30:21 | INFO     | prostate_bcr |   NestedCV genomic PSO iter 5/10: best Fitness=0.8019 (Raw AUC ~= 0.8419)
2026-09-19 02:30:40 | INFO     | prostate_bcr |   NestedCV genomic PSO iter 10/10: best Fitness=0.8284 (Raw AUC ~= 0.8684)
2026-09-19 02:30:40 | INFO     | prostate_bcr | NestedCV genomic PSO selected 40 features with final fitness=0.8284
2026-09-19 02:30:44 | INFO     | prostate_bcr | NestedCV clinical PSO: 12 particles, 10 iterations, target 40 features, alpha=0.0010
2026-09-19 02:31:00 | INFO     | prostate_bcr |   NestedCV clinical PSO iter 5/10: best Fitness=0.8073 (Raw AUC ~= 0.8473)
2026-09-19 02:31:16 | INFO     | prostate_bcr |   NestedCV clinical PSO iter 10/10: best Fitness=0.8237 (Raw AUC ~= 0.8637)
2026-09-19 02:31:16 | INFO     | prostate_bcr | NestedCV clinical PSO selected 40 features with final fitness=0.8237
2026-09-19 02:31:17 | INFO     | prostate_bcr | Repeat seed=43 fold 4/5 ...
2026-09-19 02:31:17 | INFO     | prostate_bcr | Column groups: 115 clinical, 18904 gene
2026-09-19 02:31:17 | INFO     | prostate_bcr | Column groups: 115 clinical, 18904 gene
2026-09-19 02:31:20 | INFO     | prostate_bcr | Preprocessing fitted on 343 training samples
2026-09-19 02:31:52 | INFO     | prostate_bcr | Genomic selector: 18904 variance \u2192 200 MI features
2026-09-19 02:31:52 | INFO     | prostate_bcr | Clinical selector: 76 variance -> 76 MI features
2026-09-19 02:31:56 | INFO     | prostate_bcr | NestedCV genomic PSO: 12 particles, 10 iterations, target 40 features, alpha=0.0010
2026-09-19 02:32:16 | INFO     | prostate_bcr |   NestedCV genomic PSO iter 5/10: best Fitness=0.7723 (Raw AUC ~= 0.8123)
2026-09-19 02:32:36 | INFO     | prostate_bcr |   NestedCV genomic PSO iter 10/10: best Fitness=0.7723 (Raw AUC ~= 0.8123)
2026-09-19 02:32:36 | INFO     | prostate_bcr | NestedCV genomic PSO selected 40 features with final fitness=0.7723
2026-09-19 02:32:39 | INFO     | prostate_bcr | NestedCV clinical PSO: 12 particles, 10 iterations, target 40 features, alpha=0.0010
2026-09-19 02:32:55 | INFO     | prostate_bcr |   NestedCV clinical PSO iter 5/10: best Fitness=0.7951 (Raw AUC ~= 0.8351)
2026-09-19 02:33:11 | INFO     | prostate_bcr |   NestedCV clinical PSO iter 10/10: best Fitness=0.7979 (Raw AUC ~= 0.8379)
2026-09-19 02:33:11 | INFO     | prostate_bcr | NestedCV clinical PSO selected 40 features with final fitness=0.7979
2026-09-19 02:33:12 | INFO     | prostate_bcr | Repeat seed=43 fold 5/5 ...
2026-09-19 02:33:12 | INFO     | prostate_bcr | Column groups: 115 clinical, 18904 gene
2026-09-19 02:33:13 | INFO     | prostate_bcr | Column groups: 115 clinical, 18904 gene
2026-09-19 02:33:16 | INFO     | prostate_bcr | Preprocessing fitted on 344 training samples
2026-09-19 02:33:48 | INFO     | prostate_bcr | Genomic selector: 18904 variance \u2192 200 MI features
2026-09-19 02:33:48 | INFO     | prostate_bcr | Clinical selector: 77 variance -> 77 MI features
2026-09-19 02:33:52 | INFO     | prostate_bcr | NestedCV genomic PSO: 12 particles, 10 iterations, target 40 features, alpha=0.0010
2026-09-19 02:34:13 | INFO     | prostate_bcr |   NestedCV genomic PSO iter 5/10: best Fitness=0.8102 (Raw AUC ~= 0.8502)
2026-09-19 02:34:33 | INFO     | prostate_bcr |   NestedCV genomic PSO iter 10/10: best Fitness=0.8102 (Raw AUC ~= 0.8502)
2026-09-19 02:34:33 | INFO     | prostate_bcr | NestedCV genomic PSO selected 40 features with final fitness=0.8102
2026-09-19 02:34:36 | INFO     | prostate_bcr | NestedCV clinical PSO: 12 particles, 10 iterations, target 40 features, alpha=0.0010
2026-09-19 02:34:52 | INFO     | prostate_bcr |   NestedCV clinical PSO iter 5/10: best Fitness=0.7814 (Raw AUC ~= 0.8214)
2026-09-19 02:35:08 | INFO     | prostate_bcr |   NestedCV clinical PSO iter 10/10: best Fitness=0.7965 (Raw AUC ~= 0.8365)
2026-09-19 02:35:08 | INFO     | prostate_bcr | NestedCV clinical PSO selected 40 features with final fitness=0.7965
2026-09-19 02:35:09 | INFO     | prostate_bcr | Repeat seed=43 done: OOF AUC=0.8023 (weights 0.00/1.00), 9.6 min
2026-09-19 02:35:09 | INFO     | prostate_bcr | Repeat seed=44 fold 1/5 ...
2026-09-19 02:35:09 | INFO     | prostate_bcr | Column groups: 115 clinical, 18904 gene
2026-09-19 02:35:10 | INFO     | prostate_bcr | Column groups: 115 clinical, 18904 gene
2026-09-19 02:35:12 | INFO     | prostate_bcr | Preprocessing fitted on 343 training samples
2026-09-19 02:35:44 | INFO     | prostate_bcr | Genomic selector: 18904 variance \u2192 200 MI features
2026-09-19 02:35:45 | INFO     | prostate_bcr | Clinical selector: 78 variance -> 78 MI features
2026-09-19 02:35:48 | INFO     | prostate_bcr | NestedCV genomic PSO: 12 particles, 10 iterations, target 40 features, alpha=0.0010
2026-09-19 02:36:08 | INFO     | prostate_bcr |   NestedCV genomic PSO iter 5/10: best Fitness=0.7854 (Raw AUC ~= 0.8254)
2026-09-19 02:36:28 | INFO     | prostate_bcr |   NestedCV genomic PSO iter 10/10: best Fitness=0.7972 (Raw AUC ~= 0.8372)
2026-09-19 02:36:28 | INFO     | prostate_bcr | NestedCV genomic PSO selected 40 features with final fitness=0.7972
2026-09-19 02:36:31 | INFO     | prostate_bcr | NestedCV clinical PSO: 12 particles, 10 iterations, target 40 features, alpha=0.0010
2026-09-19 02:36:47 | INFO     | prostate_bcr |   NestedCV clinical PSO iter 5/10: best Fitness=0.7803 (Raw AUC ~= 0.8203)
2026-09-19 02:37:03 | INFO     | prostate_bcr |   NestedCV clinical PSO iter 10/10: best Fitness=0.7892 (Raw AUC ~= 0.8292)
2026-09-19 02:37:03 | INFO     | prostate_bcr | NestedCV clinical PSO selected 40 features with final fitness=0.7892
2026-09-19 02:37:04 | INFO     | prostate_bcr | Repeat seed=44 fold 2/5 ...
2026-09-19 02:37:04 | INFO     | prostate_bcr | Column groups: 115 clinical, 18904 gene
2026-09-19 02:37:04 | INFO     | prostate_bcr | Column groups: 115 clinical, 18904 gene
2026-09-19 02:37:07 | INFO     | prostate_bcr | Preprocessing fitted on 343 training samples
2026-09-19 02:37:39 | INFO     | prostate_bcr | Genomic selector: 18904 variance \u2192 200 MI features
2026-09-19 02:37:39 | INFO     | prostate_bcr | Clinical selector: 80 variance -> 80 MI features
2026-09-19 02:37:43 | INFO     | prostate_bcr | NestedCV genomic PSO: 12 particles, 10 iterations, target 40 features, alpha=0.0010
2026-09-19 02:38:03 | INFO     | prostate_bcr |   NestedCV genomic PSO iter 5/10: best Fitness=0.8139 (Raw AUC ~= 0.8539)
2026-09-19 02:38:23 | INFO     | prostate_bcr |   NestedCV genomic PSO iter 10/10: best Fitness=0.8283 (Raw AUC ~= 0.8683)
2026-09-19 02:38:23 | INFO     | prostate_bcr | NestedCV genomic PSO selected 40 features with final fitness=0.8283
2026-09-19 02:38:26 | INFO     | prostate_bcr | NestedCV clinical PSO: 12 particles, 10 iterations, target 40 features, alpha=0.0010
2026-09-19 02:38:42 | INFO     | prostate_bcr |   NestedCV clinical PSO iter 5/10: best Fitness=0.7581 (Raw AUC ~= 0.7981)
2026-09-19 02:38:59 | INFO     | prostate_bcr |   NestedCV clinical PSO iter 10/10: best Fitness=0.7661 (Raw AUC ~= 0.8061)
2026-09-19 02:38:59 | INFO     | prostate_bcr | NestedCV clinical PSO selected 40 features with final fitness=0.7661
2026-09-19 02:38:59 | INFO     | prostate_bcr | Repeat seed=44 fold 3/5 ...
2026-09-19 02:38:59 | INFO     | prostate_bcr | Column groups: 115 clinical, 18904 gene
2026-09-19 02:39:00 | INFO     | prostate_bcr | Column groups: 115 clinical, 18904 gene
2026-09-19 02:39:03 | INFO     | prostate_bcr | Preprocessing fitted on 343 training samples
2026-09-19 02:39:34 | INFO     | prostate_bcr | Genomic selector: 18904 variance \u2192 200 MI features
2026-09-19 02:39:35 | INFO     | prostate_bcr | Clinical selector: 79 variance -> 79 MI features
2026-09-19 02:39:38 | INFO     | prostate_bcr | NestedCV genomic PSO: 12 particles, 10 iterations, target 40 features, alpha=0.0010
2026-09-19 02:39:58 | INFO     | prostate_bcr |   NestedCV genomic PSO iter 5/10: best Fitness=0.7737 (Raw AUC ~= 0.8137)
2026-09-19 02:40:18 | INFO     | prostate_bcr |   NestedCV genomic PSO iter 10/10: best Fitness=0.7740 (Raw AUC ~= 0.8140)
