2026-09-19 01:06:20 | INFO     | prostate_bcr |   NestedCV clinical PSO iter 5/10: best Fitness=0.5936 (Raw AUC ~= 0.6336)
2026-09-19 01:06:36 | INFO     | prostate_bcr |   NestedCV clinical PSO iter 10/10: best Fitness=0.5936 (Raw AUC ~= 0.6336)
2026-09-19 01:06:36 | INFO     | prostate_bcr | NestedCV clinical PSO selected 40 features with final fitness=0.5936
2026-09-19 01:06:36 | INFO     | prostate_bcr | Repeat seed=44 fold 3/5 ...
2026-09-19 01:06:37 | INFO     | prostate_bcr | Column groups: 115 clinical, 18904 gene
2026-09-19 01:06:40 | INFO     | prostate_bcr | Preprocessing fitted on 343 training samples
2026-09-19 01:07:11 | INFO     | prostate_bcr | Genomic selector: 18937 variance \u2192 200 MI features
2026-09-19 01:07:11 | INFO     | prostate_bcr | Clinical selector: 46 variance -> 46 MI features
2026-09-19 01:07:24 | INFO     | prostate_bcr | NestedCV genomic PSO: 12 particles, 10 iterations, target 40 features, alpha=0.0010
2026-09-19 01:08:41 | INFO     | prostate_bcr |   NestedCV genomic PSO iter 5/10: best Fitness=0.8450 (Raw AUC ~= 0.8850)
2026-09-19 01:10:03 | INFO     | prostate_bcr |   NestedCV genomic PSO iter 10/10: best Fitness=0.8450 (Raw AUC ~= 0.8850)
2026-09-19 01:10:03 | INFO     | prostate_bcr | NestedCV genomic PSO selected 40 features with final fitness=0.8450
2026-09-19 01:10:16 | INFO     | prostate_bcr | NestedCV clinical PSO: 12 particles, 10 iterations, target 40 features, alpha=0.0010
2026-09-19 01:11:24 | INFO     | prostate_bcr |   NestedCV clinical PSO iter 5/10: best Fitness=0.6342 (Raw AUC ~= 0.6742)
2026-09-19 01:12:35 | INFO     | prostate_bcr |   NestedCV clinical PSO iter 10/10: best Fitness=0.6413 (Raw AUC ~= 0.6813)
2026-09-19 01:12:35 | INFO     | prostate_bcr | NestedCV clinical PSO selected 40 features with final fitness=0.6413
2026-09-19 01:12:36 | INFO     | prostate_bcr | Repeat seed=44 fold 4/5 ...
2026-09-19 01:12:40 | INFO     | prostate_bcr | Column groups: 115 clinical, 18904 gene
2026-09-19 01:12:50 | INFO     | prostate_bcr | Preprocessing fitted on 343 training samples
2026-09-19 01:15:31 | INFO     | prostate_bcr | Genomic selector: 18937 variance \u2192 200 MI features
2026-09-19 01:15:32 | INFO     | prostate_bcr | Clinical selector: 44 variance -> 44 MI features
2026-09-19 01:15:45 | INFO     | prostate_bcr | NestedCV genomic PSO: 12 particles, 10 iterations, target 40 features, alpha=0.0010
2026-09-19 01:17:01 | INFO     | prostate_bcr |   NestedCV genomic PSO iter 5/10: best Fitness=0.8416 (Raw AUC ~= 0.8816)
2026-09-19 01:18:09 | INFO     | prostate_bcr |   NestedCV genomic PSO iter 10/10: best Fitness=0.8498 (Raw AUC ~= 0.8898)
2026-09-19 01:18:09 | INFO     | prostate_bcr | NestedCV genomic PSO selected 40 features with final fitness=0.8498
2026-09-19 01:18:21 | INFO     | prostate_bcr | NestedCV clinical PSO: 12 particles, 10 iterations, target 40 features, alpha=0.0010
2026-09-19 01:19:44 | INFO     | prostate_bcr |   NestedCV clinical PSO iter 5/10: best Fitness=0.6536 (Raw AUC ~= 0.6936)
2026-09-19 01:20:19 | INFO     | prostate_bcr |   NestedCV clinical PSO iter 10/10: best Fitness=0.6536 (Raw AUC ~= 0.6936)
2026-09-19 01:20:19 | INFO     | prostate_bcr | NestedCV clinical PSO selected 40 features with final fitness=0.6536
2026-09-19 01:20:20 | INFO     | prostate_bcr | Repeat seed=44 fold 5/5 ...
2026-09-19 01:20:21 | INFO     | prostate_bcr | Column groups: 115 clinical, 18904 gene
2026-09-19 01:20:24 | INFO     | prostate_bcr | Preprocessing fitted on 344 training samples
2026-09-19 01:21:15 | INFO     | prostate_bcr | Genomic selector: 18937 variance \u2192 200 MI features
2026-09-19 01:21:15 | INFO     | prostate_bcr | Clinical selector: 43 variance -> 43 MI features
2026-09-19 01:21:19 | INFO     | prostate_bcr | NestedCV genomic PSO: 12 particles, 10 iterations, target 40 features, alpha=0.0010
2026-09-19 01:21:38 | INFO     | prostate_bcr |   NestedCV genomic PSO iter 5/10: best Fitness=0.8399 (Raw AUC ~= 0.8799)
2026-09-19 01:21:58 | INFO     | prostate_bcr |   NestedCV genomic PSO iter 10/10: best Fitness=0.8399 (Raw AUC ~= 0.8799)
2026-09-19 01:21:58 | INFO     | prostate_bcr | NestedCV genomic PSO selected 40 features with final fitness=0.8399
2026-09-19 01:22:01 | INFO     | prostate_bcr | NestedCV clinical PSO: 12 particles, 10 iterations, target 40 features, alpha=0.0010
2026-09-19 01:22:17 | INFO     | prostate_bcr |   NestedCV clinical PSO iter 5/10: best Fitness=0.6330 (Raw AUC ~= 0.6730)
2026-09-19 01:22:33 | INFO     | prostate_bcr |   NestedCV clinical PSO iter 10/10: best Fitness=0.6536 (Raw AUC ~= 0.6936)
2026-09-19 01:22:33 | INFO     | prostate_bcr | NestedCV clinical PSO selected 40 features with final fitness=0.6536
2026-09-19 01:22:34 | INFO     | prostate_bcr | Repeat seed=44 done: OOF AUC=0.7489 (weights 0.91/0.09), 20.0 min
=== Step 6: repeated nested CV from raw TCGA ===
Repeats: 3 x 5 folds | runtime 41.7 min
  seed 42: OOF AUC=0.7773, weights=0.98/0.02, threshold=0.0625
  seed 43: OOF AUC=0.7391, weights=0.78/0.22, threshold=0.1582
  seed 44: OOF AUC=0.7489, weights=0.91/0.09, threshold=0.1107
Mean OOF AUC = 0.7551 ± 0.0199
