,ZC3H14,SLTM,HSD11B1L,TMEM176B,CADM3,RGAG4,CNTF,LIN7A,PRR15,C1QTNF7,CD109,SYT17,RPS10,TOP2B,RBBP7,UBE2G1,RHOC,ARMC4,CASP5,CHRD,CHCHD6,ANXA6
GSM1817943,0.8661579011539942,1.241599379835333,1.1853602514463235,-0.947504881993987,1.5201467344210562,-0.6502725242301383,0.17635768526827916,0.12176501233058387,1.035641048743609,-0.8661579011539922,-1.719276416583524,-0.5220720216434811,0.40192329856508935,-0.41659494472142866,0.28731304631659765,-0.8275632846762032,-0.9060839546267637,0.23147992011475022,0.013496592744814863,0.28731304631659155,0.5690399756842063,-1.185360251446325
GSM1817944,-0.12176501233058326,-0.25929572004233803,-0.20384159360707826,0.3440544781359134,0.3728332458690834,0.25929572004233814,0.6839711625556567,-1.1853602514463213,0.34405447813590995,-2.3023509502335036,0.7538284716805227,0.23147992011474955,-2.302350950233504,-0.259295720042334,1.439735307788286,0.4611672853187924,0.8661579011539938,-0.9060839546267636,1.0828657198996068,-1.6117604804485908,-0.6172946605313815,-0.9906137247179194
GSM1817945,0.6839711625556566,-0.6172946605313837,-0.013496592744813803,0.4019232985650887,-2.026561886444785,0.7901603424971209,-1.6117604804485852,-0.9060839546267635,0.5849730479589729,0.4313565579206625,0.3155571131805776,0.7538284716805224,1.439735307788286,-0.04049958896027919,0.23147992011475124,0.4313565579206603,-0.5532496597076945,1.6117604804485863,0.2038415936070793,0.0675320673487314,-1.439735307788284,0.2873130463165932
GSM1817946,1.0828657198996074,0.9060839546267622,-0.5849730479589749,-0.20384159360707851,-0.7901603424971178,-0.09461385000571258,0.7538284716805234,-0.8661579011539934,-1.3020528550238837,-1.6117604804485843,-0.7901603424971191,-1.132629877363148,-0.9688348927370755,1.520146734421058,-0.04049958896028048,0.7184627414058253,-1.4397353077882846,-0.9475048819939875,-0.7901603424971184,0.6839711625556513,1.0356410487436123,-0.7901603424971222
GSM1817947,-0.9475048819939873,0.7901603424971173,0.8275632846762032,1.082865719899608,0.4611672853187943,-0.49139242808836514,0.7184627414058269,0.5220720216434807,0.6839711625556535,1.5201467344210453,-0.9060839546267639,0.7184627414058259,0.31555711318057916,-0.7184627414058239,0.6172946605313832,-1.7192764165835248,0.401923298565088,-0.09461385000571441,0.17635768526827886,-0.6502725242301451,0.9060839546267644,0.6839711625556529
GSM1817948,-0.4913924280883667,-1.3020528550238826,-0.9060839546267628,1.719276416583525,0.7538284716805236,1.611760480448588,1.8512969419333187,0.09461385000571478,-0.25929572004233914,-1.0828657198996052,0.4313565579206612,1.0828657198996066,0.9906137247179173,-0.013496592744812342,-1.0828657198996057,0.5532496597076934,1.4397353077882846,0.753828471680523,-0.013496592744814536,0.8275632846761973,0.718462741405827,0.4019232985650847
GSM1817949,-2.3023509502335053,-2.302350950233507,1.0828657198996081,0.9475048819939881,0.5532496597076952,0.6172946605313839,-0.28731304631659615,1.6117604804485866,-0.04049958896028437,-1.7192764165835221,0.37283324586908234,-1.439735307788285,1.9315553741990308,-0.5220720216434781,0.49139242808836814,-2.3023509502335067,-0.7184627414058263,1.3020528550238821,-0.718462741405826,-0.43135655792066635,-0.04049958896028103,1.0356410487436083
GSM1817950,-0.9060839546267634,1.5201467344210444,-0.6839711625556553,-1.611760480448585,0.8661579011539945,-0.9060839546267618,0.37283324586908306,-1.6117604804485854,-1.8512969419333212,0.28731304631659765,0.0675320673487362,-1.5201467344210557,0.8275632846762037,0.12176501233058604,-0.650272524230139,0.9060839546267627,-5.206933404891631,0.3728332458690826,-0.5849730479589753,1.6117604804485812,-1.8512969419333178,0.23147992011474677
GSM1817951,0.2873130463165969,0.2592957200423346,-0.8275632846762012,-0.287313046316596,-5.206933404891629,0.37283324586908445,-2.0265618864447865,-1.4397353077882842,0.49139242808836425,0.34405447813591383,0.8275632846762021,-0.2592957200423369,0.7184627414058278,0.4611672853187959,-0.2314799201147491,0.28731304631659543,-1.082865719899607,1.5201467344210557,0.46116728531879364,-0.28731304631660165,-0.9060839546267632,0.06753206734873304
GSM1817952,-0.2873130463165963,0.7184627414058248,-0.37283324586908156,0.7538284716805236,-0.14900598907582394,0.4313565579206633,-0.43135655792066085,-0.013496592744814502,-1.1326298773631502,-0.28731304631659543,-0.2592957200423366,0.372833245869082,0.7184627414058278,1.367663713210187,-1.3020528550238797,0.3440544781359116,-0.8661579011539936,1.0356410487436118,-1.2415993798353337,1.7192764165835193,-1.2415993798353337,1.3020528550238741
GSM1817953,0.8275632846762027,0.9475048819939857,-0.401923298565087,0.5532496597076951,0.9906137247179166,1.082865719899609,0.8275632846762028,-1.7192764165835235,1.241599379835332,0.013496592744815825,0.09461385000571435,1.1326298773631471,-0.7011129892122171,0.37283324586908495,0.0675320673487375,0.4019232985650869,0.46116728531879353,-1.520146734421055,0.23147992011475027,-0.491392428088372,-1.6117604804485852,-0.49139242808837036
GSM1817954,0.43135655792066174,-0.5532496597076961,-1.2415993798353333,0.12176501233058433,-0.7538284716805216,-0.790160342497117,-0.12176501233058311,-0.4611672853187932,-0.231479920114753,0.04049958896028253,-0.4019232985650882,-1.1853602514463222,0.13537297969854178,-0.09461385000571208,-0.34405447813591156,0.04049958896028027,1.0356410487436116,0.14900598907582496,-5.20693340489163,1.1853602514463164,1.520146734421049,1.1326298773631442
GSM1817955,0.5532496597076948,0.8661579011539922,-0.1763576852682777,1.851296941933319,-0.5532496597076935,0.8661579011539957,-0.8087207959150906,0.06753206734873662,-0.1763576852682814,-0.7901603424971174,0.20384159360707893,0.2592957200423357,-1.1326298773631462,-0.28731304631659427,-0.31555711318057683,-0.5532496597076956,1.3676637132101845,-0.5220720216434804,-1.0828657198996063,0.013496592744809681,-1.3676637132101843,0.6172946605313787
GSM1817956,-0.3155571131805776,0.43135655792065974,1.5201467344210566,0.9906137247179166,0.4913924280883678,-0.12176501233058168,-1.3020528550238804,0.5849730479589759,0.8275632846761996,-0.6172946605313807,-0.8275632846762023,1.8512969419333176,-1.241599379835333,-0.6172946605313796,-0.09461385000571337,-0.28731304631659776,-0.013496592744814746,-5.206933404891631,0.06753206734873658,-0.20384159360708418,0.0946138500057151,-1.6117604804485892
